neighborhood,arrest_score
squirrel hill north,10.0
swisshelm park,9.31
regent square,8.88
new homestead,8.6
north oakland,8.6
stanton heights,8.17
squirrel hill south,8.04
point breeze,7.89
morningside,7.82
shadyside,7.58
westwood,7.41
banksville,7.31
lincoln place,7.26
greenfield,7.19
summer hill,7.11
upper lawrenceville,7.02
duquesne heights,7.0
oakwood,6.99
friendship,6.72
highland park,6.7
central oakland,6.7
central lawrenceville,6.65
windgap,6.62
overbrook,6.54
lower lawrenceville,6.34
south oakland,6.26
brookline,6.25
bloomfield,6.09
fairywood,6.02
terrace village,5.78
west oakland,5.77
polish hill,5.58
point breeze north,5.45
crafton heights,5.36
perry north,5.26
brighton heights,5.25
beechview,5.23
mount washington,5.13
troy hill,5.07
south side slopes,4.82
garfield,4.65
upper hill,4.44
carrick,4.28
arlington - arlington heights (combined),4.28
manchester,4.24
allegheny west,4.14
sheraden,4.05
bluff,3.99
glen hazel,3.98
strip district,3.82
spring garden,3.77
perry south,3.75
central northside,3.62
spring hill-city,3.57
elliott,3.56
east liberty,3.53
beltzhoover,3.5
bon air,3.16
hazelwood,3.11
crawford-roberts,3.06
marshall-shadeland,3.0
lincoln-lemington-belmar,3.0
knoxville,2.95
northview heights,2.81
allentown,2.76
east hills,2.75
california-kirkbride,2.56
south side flats,2.42
bedford dwellings,2.36
middle hill,2.1
larimer,1.92
fineview,1.38
homewood north,1.19
central business district (downtown),0.95
allegheny center,0.79
homewood south,0.65
east allegheny,0.06
homewood west,0.0
