neighborhood,age_score
SQUIRREL HILL SOUTH,10.0
NORTH OAKLAND,9.917177914110425
BANKSVILLE,9.889570552147237
POINT BREEZE,9.779141104294476
SQUIRREL HILL NORTH,9.751533742331286
CENTRAL OAKLAND,9.475460122699385
NEW HOMESTEAD,9.309815950920246
SWISSHELM PARK,9.226993865030673
OVERBROOK,8.978527607361963
SHADYSIDE,8.95092024539877
UPPER HILL,8.840490797546012
ALLEGHENY CENTER,8.840490797546012
CENTRAL LAWRENCEVILLE,8.73006134969325
STANTON HEIGHTS,8.50920245398773
HOMEWOOD WEST,8.453987730061348
EAST CARNEGIE,8.371165644171779
NORTH SHORE,8.371165644171779
GLEN HAZEL,8.315950920245395
LINCOLN PLACE,8.315950920245395
WEST OAKLAND,8.233128834355828
RIDGEMONT,8.177914110429446
GREENFIELD,8.150306748466257
DUQUESNE HEIGHTS,8.150306748466257
HIGHLAND PARK,8.150306748466257
BEECHVIEW,8.067484662576687
BRIGHTON HEIGHTS,8.067484662576687
OAKWOOD,8.039877300613496
LINCOLN-LEMINGTON-BELMAR,8.039877300613496
BON AIR,7.957055214723925
SOUTHSIDE FLATS,7.929447852760737
SUMMER HILL,7.901840490797544
HAYS,7.901840490797544
BLOOMFIELD,7.874233128834355
SPRING HILL-CITYVIEW,7.763803680981593
MORNINGSIDE,7.763803680981593
BROOKLINE,7.763803680981593
WEST END,7.680981595092024
WINDGAP,7.680981595092024
SOUTHSIDE SLOPES,7.598159509202453
SOUTH OAKLAND,7.570552147239261
WESTWOOD,7.542944785276073
CHARTIERS CITY,7.515337423312884
REGENT SQUARE,7.460122699386503
BELTZHOOVER,7.432515337423311
HOMEWOOD SOUTH,7.404907975460121
PERRY SOUTH,7.377300613496933
MOUNT WASHINGTON,7.349693251533741
CARRICK,7.239263803680982
LARIMER,7.073619631901839
HOMEWOOD NORTH,7.018404907975457
MOUNT OLIVER NEIGHBORHOOD,6.990797546012269
CRAWFORD ROBERTS,6.935582822085888
PERRY NORTH,6.880368098159507
LOWER LAWRENCEVILLE,6.687116564417179
CENTRAL BUSINESS DISTRICT,6.687116564417179
UPPER LAWRENCEVILLE,6.631901840490798
ARLINGTON,6.631901840490798
GARFIELD,6.5766871165644165
CRAFTON HEIGHTS,6.5766871165644165
POINT BREEZE NORTH,6.493865030674847
EAST LIBERTY,6.438650306748466
STRIP DISTRICT,6.300613496932515
MIDDLE HILL,6.273006134969326
POLISH HILL,6.217791411042945
HAZELWOOD,6.217791411042945
SHERADEN,6.162576687116563
ELLIOTT,6.162576687116563
SPRING GARDEN,6.107361963190183
CENTRAL NORTHSIDE,6.079754601226995
ESPLEN,6.079754601226995
KNOXVILLE,6.079754601226995
BEDFORD DWELLINGS,5.996932515337424
TERRACE VILLAGE,5.941717791411043
FRIENDSHIP,5.914110429447851
EAST HILLS,5.858895705521474
FINEVIEW,5.831288343558281
TROY HILL/HERR'S ISLAND,5.69325153374233
BLUFF,5.61042944785276
MARSHALL-SHADELAND,5.61042944785276
CALIFORNIA-KIRKBRIDE,5.417177914110429
NORTHVIEW HEIGHTS,5.058282208588957
SAINT CLAIR,4.920245398773006
MANCHESTER,4.892638036809817
ALLENTOWN,4.644171779141104
EAST ALLEGHENY,4.561349693251534
ALLEGHENY WEST,4.230061349693251
ARLINGTON HEIGHTS,3.87116564417178
FAIRYWOOD,1.0
